Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk,PRCP,TMAX,TMIN,AWND
18.0,7.0,0.0,217.0,89.0,57.0
68.0,37.0,0.0,217.0,89.0,57.0
218.0,101.0,0.0,217.0,89.0,57.0
251.0,119.0,0.0,217.0,89.0,57.0
131.0,81.0,0.0,217.0,89.0,57.0
71.0,48.0,0.0,217.0,89.0,57.0
43.0,61.0,0.0,217.0,89.0,57.0
55.0,46.0,0.0,217.0,89.0,57.0
62.0,50.0,0.0,217.0,89.0,57.0
63.0,62.0,0.0,217.0,89.0,57.0
80.0,84.0,0.0,217.0,89.0,57.0
120.0,190.0,0.0,217.0,89.0,57.0
144.0,290.0,0.0,217.0,89.0,57.0
107.0,209.0,0.0,217.0,89.0,57.0
42.0,73.0,0.0,217.0,89.0,57.0
27.0,41.0,0.0,217.0,89.0,57.0
11.0,31.0,0.0,217.0,89.0,57.0
10.0,26.0,0.0,217.0,89.0,57.0
16.0,16.0,0.0,217.0,89.0,57.0
8.0,7.0,0.0,239.0,78.0,51.0
10.0,5.0,0.0,239.0,78.0,51.0
7.0,2.0,0.0,239.0,78.0,51.0
1.0,2.0,0.0,239.0,78.0,51.0
4.0,1.0,0.0,239.0,78.0,51.0
3.0,2.0,0.0,239.0,78.0,51.0
12.0,15.0,0.0,239.0,78.0,51.0
17.0,16.0,0.0,239.0,78.0,51.0
58.0,47.0,0.0,239.0,78.0,51.0
59.0,55.0,0.0,239.0,78.0,51.0
68.0,47.0,0.0,239.0,78.0,51.0
76.0,48.0,0.0,239.0,78.0,51.0
91.0,73.0,0.0,239.0,78.0,51.0
95.0,82.0,0.0,239.0,78.0,51.0
89.0,114.0,0.0,239.0,78.0,51.0
115.0,96.0,0.0,239.0,78.0,51.0
107.0,76.0,0.0,239.0,78.0,51.0
107.0,73.0,0.0,239.0,78.0,51.0
41.0,55.0,0.0,239.0,78.0,51.0
40.0,38.0,0.0,239.0,78.0,51.0
25.0,18.0,0.0,239.0,78.0,51.0
18.0,15.0,0.0,239.0,78.0,51.0
14.0,20.0,0.0,239.0,78.0,51.0
15.0,19.0,0.0,239.0,78.0,51.0
6.0,5.0,0.0,239.0,78.0,13.0
12.0,5.0,0.0,239.0,78.0,13.0
2.0,1.0,0.0,239.0,78.0,13.0
4.0,2.0,0.0,239.0,78.0,13.0
1.0,2.0,0.0,239.0,78.0,13.0
6.0,3.0,0.0,239.0,78.0,13.0
9.0,8.0,0.0,239.0,78.0,13.0
14.0,12.0,0.0,239.0,78.0,13.0
43.0,26.0,0.0,239.0,78.0,13.0
67.0,36.0,0.0,239.0,78.0,13.0
67.0,41.0,0.0,239.0,78.0,13.0
94.0,71.0,0.0,239.0,78.0,13.0
100.0,91.0,0.0,239.0,78.0,13.0
129.0,99.0,0.0,239.0,78.0,13.0
126.0,115.0,0.0,239.0,78.0,13.0
122.0,109.0,0.0,239.0,78.0,13.0
132.0,93.0,0.0,239.0,78.0,13.0
118.0,73.0,0.0,239.0,78.0,13.0
68.0,45.0,0.0,239.0,78.0,13.0
26.0,23.0,0.0,239.0,78.0,13.0
19.0,36.0,0.0,239.0,78.0,13.0
12.0,35.0,0.0,239.0,78.0,13.0
9.0,9.0,0.0,239.0,78.0,13.0
5.0,11.0,0.0,239.0,78.0,13.0
4.0,5.0,0.0,211.0,78.0,19.0
2.0,2.0,0.0,211.0,78.0,19.0
5.0,0.0,0.0,211.0,78.0,19.0
1.0,4.0,0.0,211.0,78.0,19.0
3.0,2.0,0.0,211.0,78.0,19.0
16.0,7.0,0.0,211.0,78.0,19.0
89.0,48.0,0.0,211.0,78.0,19.0
233.0,94.0,0.0,211.0,78.0,19.0
304.0,153.0,0.0,211.0,78.0,19.0
174.0,104.0,0.0,211.0,78.0,19.0
53.0,44.0,0.0,211.0,78.0,19.0
55.0,44.0,0.0,211.0,78.0,19.0
53.0,55.0,0.0,211.0,78.0,19.0
52.0,44.0,0.0,211.0,78.0,19.0
59.0,62.0,0.0,211.0,78.0,19.0
92.0,75.0,0.0,211.0,78.0,19.0
117.0,135.0,0.0,211.0,78.0,19.0
214.0,390.0,0.0,211.0,78.0,19.0
139.0,226.0,0.0,211.0,78.0,19.0
73.0,95.0,0.0,211.0,78.0,19.0
37.0,57.0,0.0,211.0,78.0,19.0
28.0,35.0,0.0,211.0,78.0,19.0
15.0,14.0,0.0,211.0,78.0,19.0
11.0,13.0,0.0,211.0,78.0,19.0
8.0,4.0,0.0,161.0,89.0,16.0
1.0,2.0,0.0,161.0,89.0,16.0
2.0,2.0,0.0,161.0,89.0,16.0
5.0,3.0,0.0,161.0,89.0,16.0
4.0,5.0,0.0,161.0,89.0,16.0
22.0,9.0,0.0,161.0,89.0,16.0
103.0,50.0,0.0,161.0,89.0,16.0
258.0,110.0,0.0,161.0,89.0,16.0
317.0,145.0,0.0,161.0,89.0,16.0
163.0,112.0,0.0,161.0,89.0,16.0
58.0,36.0,0.0,161.0,89.0,16.0
29.0,45.0,0.0,161.0,89.0,16.0
37.0,40.0,0.0,161.0,89.0,16.0
46.0,37.0,0.0,161.0,89.0,16.0
54.0,54.0,0.0,161.0,89.0,16.0
62.0,72.0,0.0,161.0,89.0,16.0
95.0,149.0,0.0,161.0,89.0,16.0
197.0,400.0,0.0,161.0,89.0,16.0
152.0,244.0,0.0,161.0,89.0,16.0
58.0,105.0,0.0,161.0,89.0,16.0
32.0,53.0,0.0,161.0,89.0,16.0
30.0,34.0,0.0,161.0,89.0,16.0
17.0,17.0,0.0,161.0,89.0,16.0
9.0,14.0,0.0,161.0,89.0,16.0
8.0,7.0,0.0,122.0,83.0,14.0
1.0,2.0,0.0,122.0,83.0,14.0
3.0,0.0,0.0,122.0,83.0,14.0
1.0,3.0,0.0,122.0,83.0,14.0
3.0,2.0,0.0,122.0,83.0,14.0
16.0,9.0,0.0,122.0,83.0,14.0
109.0,40.0,0.0,122.0,83.0,14.0
245.0,95.0,0.0,122.0,83.0,14.0
302.0,133.0,0.0,122.0,83.0,14.0
156.0,99.0,0.0,122.0,83.0,14.0
53.0,44.0,0.0,122.0,83.0,14.0
34.0,21.0,0.0,122.0,83.0,14.0
47.0,40.0,0.0,122.0,83.0,14.0
46.0,48.0,0.0,122.0,83.0,14.0
54.0,39.0,0.0,122.0,83.0,14.0
65.0,65.0,0.0,122.0,83.0,14.0
102.0,128.0,0.0,122.0,83.0,14.0
155.0,377.0,0.0,122.0,83.0,14.0
116.0,215.0,0.0,122.0,83.0,14.0
51.0,94.0,0.0,122.0,83.0,14.0
30.0,56.0,0.0,122.0,83.0,14.0
24.0,38.0,0.0,122.0,83.0,14.0
17.0,19.0,0.0,122.0,83.0,14.0
10.0,13.0,0.0,122.0,83.0,14.0
7.0,14.0,0.0,139.0,72.0,13.0
4.0,6.0,0.0,139.0,72.0,13.0
8.0,5.0,0.0,139.0,72.0,13.0
0.0,2.0,0.0,139.0,72.0,13.0
11.0,1.0,0.0,139.0,72.0,13.0
0.0,12.0,0.0,139.0,72.0,13.0
2.0,41.0,0.0,139.0,72.0,13.0
225.0,79.0,0.0,139.0,72.0,13.0
282.0,122.0,0.0,139.0,72.0,13.0
141.0,48.0,0.0,139.0,72.0,13.0
4.0,0.0,0.0,139.0,72.0,13.0
87.0,5.0,0.0,139.0,72.0,13.0
44.0,37.0,0.0,139.0,72.0,13.0
60.0,58.0,0.0,139.0,72.0,13.0
52.0,56.0,0.0,139.0,72.0,13.0
74.0,69.0,0.0,139.0,72.0,13.0
135.0,135.0,0.0,139.0,72.0,13.0
157.0,360.0,0.0,139.0,72.0,13.0
113.0,186.0,0.0,139.0,72.0,13.0
57.0,92.0,0.0,139.0,72.0,13.0
44.0,60.0,0.0,139.0,72.0,13.0
26.0,45.0,0.0,139.0,72.0,13.0
29.0,19.0,0.0,139.0,72.0,13.0
17.0,16.0,0.0,139.0,72.0,13.0
8.0,9.0,20.0,139.0,89.0,46.0
7.0,6.0,20.0,139.0,89.0,46.0
4.0,1.0,20.0,139.0,89.0,46.0
4.0,3.0,20.0,139.0,89.0,46.0
2.0,3.0,20.0,139.0,89.0,46.0
10.0,4.0,20.0,139.0,89.0,46.0
57.0,30.0,20.0,139.0,89.0,46.0
125.0,58.0,20.0,139.0,89.0,46.0
182.0,86.0,20.0,139.0,89.0,46.0
100.0,45.0,20.0,139.0,89.0,46.0
33.0,29.0,20.0,139.0,89.0,46.0
27.0,31.0,20.0,139.0,89.0,46.0
41.0,28.0,20.0,139.0,89.0,46.0
39.0,33.0,20.0,139.0,89.0,46.0
35.0,30.0,20.0,139.0,89.0,46.0
50.0,63.0,20.0,139.0,89.0,46.0
69.0,96.0,20.0,139.0,89.0,46.0
92.0,212.0,20.0,139.0,89.0,46.0
66.0,112.0,20.0,139.0,89.0,46.0
30.0,49.0,20.0,139.0,89.0,46.0
11.0,27.0,20.0,139.0,89.0,46.0
10.0,16.0,20.0,139.0,89.0,46.0
11.0,3.0,20.0,139.0,89.0,46.0
9.0,15.0,20.0,139.0,89.0,46.0
6.0,12.0,48.0,156.0,122.0,39.0
5.0,6.0,48.0,156.0,122.0,39.0
10.0,6.0,48.0,156.0,122.0,39.0
4.0,0.0,48.0,156.0,122.0,39.0
1.0,2.0,48.0,156.0,122.0,39.0
7.0,3.0,48.0,156.0,122.0,39.0
9.0,5.0,48.0,156.0,122.0,39.0
17.0,13.0,48.0,156.0,122.0,39.0
24.0,8.0,48.0,156.0,122.0,39.0
21.0,20.0,48.0,156.0,122.0,39.0
29.0,17.0,48.0,156.0,122.0,39.0
28.0,14.0,48.0,156.0,122.0,39.0
48.0,24.0,48.0,156.0,122.0,39.0
38.0,26.0,48.0,156.0,122.0,39.0
30.0,32.0,48.0,156.0,122.0,39.0
21.0,20.0,48.0,156.0,122.0,39.0
26.0,32.0,48.0,156.0,122.0,39.0
25.0,25.0,48.0,156.0,122.0,39.0
35.0,24.0,48.0,156.0,122.0,39.0
10.0,17.0,48.0,156.0,122.0,39.0
9.0,10.0,48.0,156.0,122.0,39.0
4.0,6.0,48.0,156.0,122.0,39.0
4.0,14.0,48.0,156.0,122.0,39.0
4.0,15.0,48.0,156.0,122.0,39.0
3.0,3.0,165.0,178.0,133.0,34.0
5.0,4.0,165.0,178.0,133.0,34.0
4.0,4.0,165.0,178.0,133.0,34.0
4.0,0.0,165.0,178.0,133.0,34.0
4.0,1.0,165.0,178.0,133.0,34.0
3.0,0.0,165.0,178.0,133.0,34.0
5.0,7.0,165.0,178.0,133.0,34.0
10.0,4.0,165.0,178.0,133.0,34.0
16.0,8.0,165.0,178.0,133.0,34.0
28.0,26.0,165.0,178.0,133.0,34.0
47.0,25.0,165.0,178.0,133.0,34.0
63.0,18.0,165.0,178.0,133.0,34.0
40.0,22.0,165.0,178.0,133.0,34.0
49.0,33.0,165.0,178.0,133.0,34.0
28.0,30.0,165.0,178.0,133.0,34.0
22.0,15.0,165.0,178.0,133.0,34.0
18.0,16.0,165.0,178.0,133.0,34.0
27.0,10.0,165.0,178.0,133.0,34.0
18.0,9.0,165.0,178.0,133.0,34.0
10.0,13.0,165.0,178.0,133.0,34.0
5.0,6.0,165.0,178.0,133.0,34.0
8.0,4.0,165.0,178.0,133.0,34.0
7.0,6.0,165.0,178.0,133.0,34.0
3.0,7.0,165.0,178.0,133.0,34.0
2.0,5.0,79.0,172.0,111.0,46.0
2.0,1.0,79.0,172.0,111.0,46.0
4.0,1.0,79.0,172.0,111.0,46.0
1.0,2.0,79.0,172.0,111.0,46.0
4.0,2.0,79.0,172.0,111.0,46.0
19.0,7.0,79.0,172.0,111.0,46.0
59.0,34.0,79.0,172.0,111.0,46.0
167.0,58.0,79.0,172.0,111.0,46.0
235.0,92.0,79.0,172.0,111.0,46.0
130.0,73.0,79.0,172.0,111.0,46.0
57.0,29.0,79.0,172.0,111.0,46.0
45.0,21.0,79.0,172.0,111.0,46.0
46.0,38.0,79.0,172.0,111.0,46.0
42.0,29.0,79.0,172.0,111.0,46.0
40.0,33.0,79.0,172.0,111.0,46.0
49.0,58.0,79.0,172.0,111.0,46.0
64.0,76.0,79.0,172.0,111.0,46.0
96.0,239.0,79.0,172.0,111.0,46.0
54.0,150.0,79.0,172.0,111.0,46.0
27.0,51.0,79.0,172.0,111.0,46.0
17.0,38.0,79.0,172.0,111.0,46.0
18.0,18.0,79.0,172.0,111.0,46.0
15.0,11.0,79.0,172.0,111.0,46.0
7.0,7.0,79.0,172.0,111.0,46.0
6.0,4.0,0.0,161.0,83.0,55.0
2.0,3.0,0.0,161.0,83.0,55.0
3.0,0.0,0.0,161.0,83.0,55.0
1.0,4.0,0.0,161.0,83.0,55.0
2.0,3.0,0.0,161.0,83.0,55.0
21.0,8.0,0.0,161.0,83.0,55.0
88.0,34.0,0.0,161.0,83.0,55.0
187.0,69.0,0.0,161.0,83.0,55.0
253.0,104.0,0.0,161.0,83.0,55.0
130.0,77.0,0.0,161.0,83.0,55.0
77.0,47.0,0.0,161.0,83.0,55.0
47.0,36.0,0.0,161.0,83.0,55.0
49.0,26.0,0.0,161.0,83.0,55.0
48.0,42.0,0.0,161.0,83.0,55.0
53.0,44.0,0.0,161.0,83.0,55.0
77.0,86.0,0.0,161.0,83.0,55.0
109.0,146.0,0.0,161.0,83.0,55.0
147.0,353.0,0.0,161.0,83.0,55.0
109.0,198.0,0.0,161.0,83.0,55.0
45.0,90.0,0.0,161.0,83.0,55.0
41.0,47.0,0.0,161.0,83.0,55.0
35.0,30.0,0.0,161.0,83.0,55.0
16.0,14.0,0.0,161.0,83.0,55.0
13.0,12.0,0.0,161.0,83.0,55.0
13.0,9.0,0.0,144.0,61.0,16.0
3.0,3.0,0.0,144.0,61.0,16.0
2.0,3.0,0.0,144.0,61.0,16.0
0.0,4.0,0.0,144.0,61.0,16.0
4.0,3.0,0.0,144.0,61.0,16.0
21.0,9.0,0.0,144.0,61.0,16.0
89.0,44.0,0.0,144.0,61.0,16.0
213.0,85.0,0.0,144.0,61.0,16.0
283.0,133.0,0.0,144.0,61.0,16.0
166.0,78.0,0.0,144.0,61.0,16.0
49.0,47.0,0.0,144.0,61.0,16.0
52.0,26.0,0.0,144.0,61.0,16.0
61.0,50.0,0.0,144.0,61.0,16.0
56.0,40.0,0.0,144.0,61.0,16.0
54.0,51.0,0.0,144.0,61.0,16.0
72.0,89.0,0.0,144.0,61.0,16.0
113.0,145.0,0.0,144.0,61.0,16.0
150.0,332.0,0.0,144.0,61.0,16.0
117.0,241.0,0.0,144.0,61.0,16.0
51.0,94.0,0.0,144.0,61.0,16.0
18.0,40.0,0.0,144.0,61.0,16.0
25.0,41.0,0.0,144.0,61.0,16.0
25.0,23.0,0.0,144.0,61.0,16.0
10.0,6.0,0.0,144.0,61.0,16.0
7.0,0.0,208.0,178.0,67.0,20.0
3.0,4.0,208.0,178.0,67.0,20.0
5.0,4.0,208.0,178.0,67.0,20.0
1.0,4.0,208.0,178.0,67.0,20.0
7.0,1.0,208.0,178.0,67.0,20.0
14.0,12.0,208.0,178.0,67.0,20.0
88.0,35.0,208.0,178.0,67.0,20.0
206.0,73.0,208.0,178.0,67.0,20.0
246.0,130.0,208.0,178.0,67.0,20.0
147.0,83.0,208.0,178.0,67.0,20.0
59.0,35.0,208.0,178.0,67.0,20.0
47.0,46.0,208.0,178.0,67.0,20.0
54.0,56.0,208.0,178.0,67.0,20.0
51.0,70.0,208.0,178.0,67.0,20.0
53.0,51.0,208.0,178.0,67.0,20.0
68.0,77.0,208.0,178.0,67.0,20.0
98.0,132.0,208.0,178.0,67.0,20.0
130.0,334.0,208.0,178.0,67.0,20.0
89.0,191.0,208.0,178.0,67.0,20.0
25.0,62.0,208.0,178.0,67.0,20.0
25.0,34.0,208.0,178.0,67.0,20.0
13.0,23.0,208.0,178.0,67.0,20.0
6.0,10.0,208.0,178.0,67.0,20.0
7.0,7.0,208.0,178.0,67.0,20.0
3.0,9.0,48.0,150.0,94.0,53.0
3.0,1.0,48.0,150.0,94.0,53.0
4.0,1.0,48.0,150.0,94.0,53.0
0.0,2.0,48.0,150.0,94.0,53.0
4.0,5.0,48.0,150.0,94.0,53.0
20.0,6.0,48.0,150.0,94.0,53.0
50.0,21.0,48.0,150.0,94.0,53.0
126.0,54.0,48.0,150.0,94.0,53.0
169.0,76.0,48.0,150.0,94.0,53.0
93.0,76.0,48.0,150.0,94.0,53.0
41.0,24.0,48.0,150.0,94.0,53.0
26.0,26.0,48.0,150.0,94.0,53.0
26.0,24.0,48.0,150.0,94.0,53.0
34.0,44.0,48.0,150.0,94.0,53.0
39.0,36.0,48.0,150.0,94.0,53.0
54.0,56.0,48.0,150.0,94.0,53.0
79.0,98.0,48.0,150.0,94.0,53.0
85.0,212.0,48.0,150.0,94.0,53.0
57.0,134.0,48.0,150.0,94.0,53.0
16.0,46.0,48.0,150.0,94.0,53.0
13.0,29.0,48.0,150.0,94.0,53.0
7.0,12.0,48.0,150.0,94.0,53.0
8.0,9.0,48.0,150.0,94.0,53.0
8.0,11.0,48.0,150.0,94.0,53.0
4.0,5.0,5.0,111.0,61.0,57.0
1.0,7.0,5.0,111.0,61.0,57.0
8.0,4.0,5.0,111.0,61.0,57.0
2.0,3.0,5.0,111.0,61.0,57.0
1.0,2.0,5.0,111.0,61.0,57.0
9.0,6.0,5.0,111.0,61.0,57.0
10.0,6.0,5.0,111.0,61.0,57.0
16.0,12.0,5.0,111.0,61.0,57.0
28.0,18.0,5.0,111.0,61.0,57.0
29.0,30.0,5.0,111.0,61.0,57.0
52.0,31.0,5.0,111.0,61.0,57.0
59.0,33.0,5.0,111.0,61.0,57.0
64.0,34.0,5.0,111.0,61.0,57.0
62.0,51.0,5.0,111.0,61.0,57.0
52.0,46.0,5.0,111.0,61.0,57.0
44.0,28.0,5.0,111.0,61.0,57.0
30.0,46.0,5.0,111.0,61.0,57.0
37.0,26.0,5.0,111.0,61.0,57.0
31.0,38.0,5.0,111.0,61.0,57.0
18.0,18.0,5.0,111.0,61.0,57.0
10.0,12.0,5.0,111.0,61.0,57.0
5.0,8.0,5.0,111.0,61.0,57.0
6.0,6.0,5.0,111.0,61.0,57.0
8.0,12.0,5.0,111.0,61.0,57.0
5.0,12.0,64.0,117.0,44.0,27.0
2.0,9.0,64.0,117.0,44.0,27.0
7.0,4.0,64.0,117.0,44.0,27.0
3.0,1.0,64.0,117.0,44.0,27.0
3.0,1.0,64.0,117.0,44.0,27.0
4.0,4.0,64.0,117.0,44.0,27.0
8.0,5.0,64.0,117.0,44.0,27.0
9.0,6.0,64.0,117.0,44.0,27.0
26.0,11.0,64.0,117.0,44.0,27.0
28.0,22.0,64.0,117.0,44.0,27.0
38.0,28.0,64.0,117.0,44.0,27.0
34.0,23.0,64.0,117.0,44.0,27.0
63.0,37.0,64.0,117.0,44.0,27.0
48.0,41.0,64.0,117.0,44.0,27.0
67.0,47.0,64.0,117.0,44.0,27.0
63.0,52.0,64.0,117.0,44.0,27.0
42.0,30.0,64.0,117.0,44.0,27.0
36.0,46.0,64.0,117.0,44.0,27.0
25.0,19.0,64.0,117.0,44.0,27.0
7.0,10.0,64.0,117.0,44.0,27.0
3.0,18.0,64.0,117.0,44.0,27.0
16.0,10.0,64.0,117.0,44.0,27.0
2.0,7.0,64.0,117.0,44.0,27.0
1.0,6.0,64.0,117.0,44.0,27.0
4.0,2.0,89.0,78.0,33.0,26.0
1.0,3.0,89.0,78.0,33.0,26.0
2.0,0.0,89.0,78.0,33.0,26.0
1.0,3.0,89.0,78.0,33.0,26.0
5.0,5.0,89.0,78.0,33.0,26.0
19.0,8.0,89.0,78.0,33.0,26.0
85.0,32.0,89.0,78.0,33.0,26.0
184.0,74.0,89.0,78.0,33.0,26.0
256.0,92.0,89.0,78.0,33.0,26.0
107.0,54.0,89.0,78.0,33.0,26.0
29.0,38.0,89.0,78.0,33.0,26.0
22.0,20.0,89.0,78.0,33.0,26.0
18.0,23.0,89.0,78.0,33.0,26.0
20.0,20.0,89.0,78.0,33.0,26.0
19.0,26.0,89.0,78.0,33.0,26.0
33.0,38.0,89.0,78.0,33.0,26.0
63.0,87.0,89.0,78.0,33.0,26.0
97.0,272.0,89.0,78.0,33.0,26.0
54.0,145.0,89.0,78.0,33.0,26.0
25.0,49.0,89.0,78.0,33.0,26.0
14.0,26.0,89.0,78.0,33.0,26.0
17.0,11.0,89.0,78.0,33.0,26.0
6.0,9.0,89.0,78.0,33.0,26.0
7.0,4.0,89.0,78.0,33.0,26.0
3.0,3.0,0.0,111.0,56.0,30.0
1.0,1.0,0.0,111.0,56.0,30.0
2.0,1.0,0.0,111.0,56.0,30.0
0.0,1.0,0.0,111.0,56.0,30.0
5.0,6.0,0.0,111.0,56.0,30.0
27.0,8.0,0.0,111.0,56.0,30.0
79.0,33.0,0.0,111.0,56.0,30.0
169.0,67.0,0.0,111.0,56.0,30.0
238.0,105.0,0.0,111.0,56.0,30.0
110.0,58.0,0.0,111.0,56.0,30.0
48.0,31.0,0.0,111.0,56.0,30.0
27.0,25.0,0.0,111.0,56.0,30.0
33.0,35.0,0.0,111.0,56.0,30.0
36.0,23.0,0.0,111.0,56.0,30.0
38.0,38.0,0.0,111.0,56.0,30.0
51.0,49.0,0.0,111.0,56.0,30.0
76.0,114.0,0.0,111.0,56.0,30.0
135.0,299.0,0.0,111.0,56.0,30.0
76.0,194.0,0.0,111.0,56.0,30.0
37.0,67.0,0.0,111.0,56.0,30.0
21.0,38.0,0.0,111.0,56.0,30.0
24.0,26.0,0.0,111.0,56.0,30.0
11.0,10.0,0.0,111.0,56.0,30.0
16.0,5.0,0.0,111.0,56.0,30.0
3.0,8.0,71.0,117.0,61.0,21.0
2.0,9.0,71.0,117.0,61.0,21.0
7.0,2.0,71.0,117.0,61.0,21.0
1.0,3.0,71.0,117.0,61.0,21.0
2.0,3.0,71.0,117.0,61.0,21.0
16.0,9.0,71.0,117.0,61.0,21.0
79.0,39.0,71.0,117.0,61.0,21.0
158.0,67.0,71.0,117.0,61.0,21.0
224.0,89.0,71.0,117.0,61.0,21.0
108.0,64.0,71.0,117.0,61.0,21.0
40.0,38.0,71.0,117.0,61.0,21.0
35.0,14.0,71.0,117.0,61.0,21.0
20.0,15.0,71.0,117.0,61.0,21.0
38.0,28.0,71.0,117.0,61.0,21.0
46.0,32.0,71.0,117.0,61.0,21.0
40.0,61.0,71.0,117.0,61.0,21.0
88.0,104.0,71.0,117.0,61.0,21.0
138.0,261.0,71.0,117.0,61.0,21.0
100.0,165.0,71.0,117.0,61.0,21.0
38.0,79.0,71.0,117.0,61.0,21.0
27.0,35.0,71.0,117.0,61.0,21.0
20.0,26.0,71.0,117.0,61.0,21.0
12.0,21.0,71.0,117.0,61.0,21.0
8.0,7.0,71.0,117.0,61.0,21.0
2.0,1.0,0.0,117.0,67.0,15.0
1.0,5.0,0.0,117.0,67.0,15.0
2.0,1.0,0.0,117.0,67.0,15.0
1.0,2.0,0.0,117.0,67.0,15.0
4.0,1.0,0.0,117.0,67.0,15.0
19.0,14.0,0.0,117.0,67.0,15.0
81.0,38.0,0.0,117.0,67.0,15.0
184.0,60.0,0.0,117.0,67.0,15.0
227.0,114.0,0.0,117.0,67.0,15.0
133.0,69.0,0.0,117.0,67.0,15.0
60.0,23.0,0.0,117.0,67.0,15.0
29.0,26.0,0.0,117.0,67.0,15.0
39.0,35.0,0.0,117.0,67.0,15.0
42.0,38.0,0.0,117.0,67.0,15.0
52.0,38.0,0.0,117.0,67.0,15.0
60.0,86.0,0.0,117.0,67.0,15.0
93.0,138.0,0.0,117.0,67.0,15.0
130.0,295.0,0.0,117.0,67.0,15.0
79.0,193.0,0.0,117.0,67.0,15.0
47.0,61.0,0.0,117.0,67.0,15.0
30.0,49.0,0.0,117.0,67.0,15.0
21.0,34.0,0.0,117.0,67.0,15.0
9.0,19.0,0.0,117.0,67.0,15.0
16.0,12.0,0.0,117.0,67.0,15.0
11.0,8.0,15.0,111.0,72.0,25.0
9.0,7.0,15.0,111.0,72.0,25.0
3.0,1.0,15.0,111.0,72.0,25.0
0.0,1.0,15.0,111.0,72.0,25.0
4.0,6.0,15.0,111.0,72.0,25.0
12.0,9.0,15.0,111.0,72.0,25.0
55.0,32.0,15.0,111.0,72.0,25.0
137.0,66.0,15.0,111.0,72.0,25.0
187.0,96.0,15.0,111.0,72.0,25.0
116.0,55.0,15.0,111.0,72.0,25.0
59.0,27.0,15.0,111.0,72.0,25.0
28.0,22.0,15.0,111.0,72.0,25.0
22.0,20.0,15.0,111.0,72.0,25.0
13.0,27.0,15.0,111.0,72.0,25.0
26.0,33.0,15.0,111.0,72.0,25.0
49.0,67.0,15.0,111.0,72.0,25.0
90.0,108.0,15.0,111.0,72.0,25.0
94.0,204.0,15.0,111.0,72.0,25.0
65.0,131.0,15.0,111.0,72.0,25.0
22.0,43.0,15.0,111.0,72.0,25.0
14.0,28.0,15.0,111.0,72.0,25.0
9.0,24.0,15.0,111.0,72.0,25.0
6.0,9.0,15.0,111.0,72.0,25.0
8.0,10.0,15.0,111.0,72.0,25.0
6.0,6.0,231.0,144.0,94.0,51.0
6.0,3.0,231.0,144.0,94.0,51.0
6.0,10.0,231.0,144.0,94.0,51.0
